x_m,y_m,V,Ex,Ey,|E|
0.0,0.0,5.0,20.000000000000018,9.999999999999964,22.360679774997898
0.01,0.0,4.8,20.000000000000018,9.999999999999964,22.360679774997898
0.02,0.0,4.6,19.99999999999997,9.999999999999964,22.360679774997855
0.03,0.0,4.4,19.99999999999997,10.000000000000053,22.360679774997894
0.04,0.0,4.2,20.000000000000018,10.000000000000053,22.360679774997937
0.0,0.01,4.9,20.000000000000018,10.000000000000009,22.360679774997916
0.01,0.01,4.7,20.000000000000018,10.000000000000009,22.360679774997916
0.02,0.01,4.5,20.000000000000018,9.999999999999964,22.360679774997898
0.03,0.01,4.3,20.000000000000018,10.000000000000009,22.360679774997916
0.04,0.01,4.1,20.000000000000018,10.000000000000009,22.360679774997916
0.0,0.02,4.8,20.000000000000018,10.000000000000009,22.360679774997916
0.01,0.02,4.6,19.99999999999997,10.000000000000009,22.360679774997877
0.02,0.02,4.4,19.99999999999997,10.000000000000009,22.360679774997877
0.03,0.02,4.2,20.000000000000018,10.000000000000009,22.360679774997916
0.04,0.02,4.0,20.000000000000018,9.999999999999986,22.36067977499791
0.0,0.03,4.7,20.000000000000018,10.000000000000009,22.360679774997916
0.01,0.03,4.5,20.000000000000018,9.999999999999964,22.360679774997898
0.02,0.03,4.3,20.000000000000018,10.000000000000009,22.360679774997916
0.03,0.03,4.1,19.999999999999996,10.000000000000009,22.360679774997898
0.04,0.03,3.9,19.99999999999997,10.000000000000009,22.360679774997877
0.0,0.04,4.6,19.99999999999993,10.000000000000053,22.36067977499786
0.01,0.04,4.4,19.99999999999997,9.999999999999964,22.360679774997855
0.02,0.04,4.2,20.000000000000018,9.999999999999964,22.360679774997898
0.03,0.04,4.0,20.000000000000018,9.999999999999964,22.360679774997898
0.04,0.04,3.8,20.000000000000018,10.000000000000009,22.360679774997916
